Pixel Coordinates: (2200, 2850)
Rectangular Region Size: 200
Wavelength (nm)	Corrected Transmission	Filter Rect Sum
400	0.063722	425127.000000
401	0.064542	434964.000000
402	0.065249	445459.000000
403	0.065811	455459.000000
404	0.066645	466194.000000
405	0.067334	477230.000000
406	0.069366	492636.000000
407	0.070070	502960.000000
408	0.070458	509089.000000
409	0.070875	518717.000000
410	0.071594	528395.000000
411	0.071460	534839.000000
412	0.071469	542850.000000
413	0.071647	550569.000000
414	0.071664	552675.000000
415	0.071686	554044.000000
416	0.071532	556267.000000
417	0.070204	548221.000000
418	0.070160	549850.000000
419	0.068655	545204.000000
420	0.068977	545713.000000
421	0.068528	545228.000000
422	0.068520	546295.000000
423	0.067610	543257.000000
424	0.067911	545018.000000
425	0.067940	549132.000000
426	0.068939	555431.000000
427	0.069129	559979.000000
428	0.071342	574441.000000
429	0.072288	585033.000000
430	0.074819	603018.000000
431	0.076354	623992.000000
432	0.079265	652395.000000
433	0.082032	678302.000000
434	0.086616	717134.000000
435	0.090677	752301.000000
436	0.095222	794632.000000
437	0.101059	846404.000000
438	0.106031	889444.000000
439	0.112870	950797.000000
440	0.118652	1006544.000000
441	0.127314	1075859.000000
442	0.135618	1181329.000000
443	0.144849	1287613.000000
444	0.152128	1375872.000000
445	0.162233	1478689.000000
446	0.170962	1569503.000000
447	0.179502	1645950.000000
448	0.188769	1743428.000000
449	0.196769	1830626.000000
450	0.207424	1610512.000000
451	0.216153	1697935.000000
452	0.225115	1781751.000000
453	0.233949	1859267.000000
454	0.242804	1974296.000000
455	0.253105	2108049.000000
456	0.261509	2222025.000000
457	0.271377	2318034.000000
458	0.280364	2415680.000000
459	0.287803	2563562.000000
460	0.300113	2811350.000000
461	0.307003	2968588.000000
462	0.317498	3108709.000000
463	0.323310	3209068.000000
464	0.330265	3269420.000000
465	0.339229	3379624.000000
466	0.348757	3506997.000000
467	0.353571	3549641.000000
468	0.361617	3582277.000000
469	0.367250	3586129.000000
470	0.374521	3605198.000000
471	0.380920	3639457.000000
472	0.390526	3685447.000000
473	0.398860	3774657.000000
474	0.406245	3858128.000000
475	0.417856	3967169.000000
476	0.425278	4019664.000000
477	0.433583	4024140.000000
478	0.439643	4022988.000000
479	0.450344	4030348.000000
480	0.454909	3989935.000000
481	0.468309	4057056.000000
482	0.474963	4092945.000000
483	0.486719	4151068.000000
484	0.489665	4228550.000000
485	0.495436	4325064.000000
486	0.507069	4400431.000000
487	0.508808	4424652.000000
488	0.511393	4398937.000000
489	0.526668	4497228.000000
490	0.531161	4482027.000000
491	0.536925	4449529.000000
492	0.544724	4470428.000000
493	0.553404	4484367.000000
494	0.560821	4502594.000000
495	0.561679	4506578.000000
496	0.574022	4573664.000000
497	0.583841	4616853.000000
498	0.586400	4630468.000000
499	0.596612	4671169.000000
500	0.603808	4699328.000000
501	0.615220	4713200.000000
502	0.619181	4689668.000000
503	0.623767	4698577.000000
504	0.627725	4712473.000000
505	0.636637	4752258.000000
506	0.638891	4776639.000000
507	0.649016	4827256.000000
508	0.647910	4816230.000000
509	0.663243	4873580.000000
510	0.665916	4909490.000000
511	0.674571	4944112.000000
512	0.678293	4979626.000000
513	0.679739	4984088.000000
514	0.684634	4983538.000000
515	0.686455	4951471.000000
516	0.694713	5009300.000000
517	0.699992	5018303.000000
518	0.698153	5020925.000000
519	0.711500	5094132.000000
520	0.713562	5104323.000000
